"Subject","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
2,1,1,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","n",791,0.791,0
2,1,2,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",1009,1.009,1
2,1,3,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",876,0.876,1
2,1,4,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","n",1046,1.046,1
2,1,5,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",912,0.912,1
2,1,6,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",1434,1.434,1
2,1,7,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",820,0.82,1
2,1,8,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",958,0.958,1
2,1,9,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",872,0.872,1
2,1,10,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",914,0.914,1
2,1,11,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",1229,1.229,1
2,1,12,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",1079,1.079,1
2,1,13,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",1184,1.184,1
2,1,14,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",810,0.81,1
2,1,15,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","n",1044,1.044,0
2,1,16,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",1214,1.214,1
2,1,17,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",968,0.968,1
2,1,18,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",946,0.946,1
2,1,19,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",861,0.861,1
2,1,20,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",1399,1.399,1
2,1,21,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",1089,1.089,1
2,1,22,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",843,0.843,1
2,1,23,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",933,0.933,1
2,1,24,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","n",910,0.91,1
2,1,25,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",1432,1.432,1
2,1,26,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",930,0.93,1
2,1,27,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",829,0.829,1
2,1,28,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",775,0.775,1
2,1,29,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","m",1041,1.041,0
2,1,30,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",1243,1.243,1
2,1,31,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",853,0.853,1
2,1,32,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",927,0.927,1
2,1,33,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",1289,1.289,1
2,1,34,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",1011,1.011,1
2,1,35,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","m",878,0.878,0
2,1,36,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",711,0.711,1
2,1,37,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",1089,1.089,1
2,1,38,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",923,0.923,1
2,1,39,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",853,0.853,1
2,1,40,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","n",831,0.831,1
2,1,41,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",969,0.969,1
2,1,42,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",691,0.691,1
2,1,43,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",990,0.99,1
2,1,44,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",600,0.6,1
2,1,45,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",834,0.834,1
2,1,46,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","m",540,0.54,0
2,1,47,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",1045,1.045,1
2,1,48,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",735,0.735,1
2,1,49,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",969,0.969,1
2,1,50,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",1219,1.219,1
2,1,51,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",910,0.91,1
2,1,52,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",456,0.456,1
2,1,53,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","n",1058,1.058,0
2,1,54,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","m",1052,1.052,0
2,1,55,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",886,0.886,1
2,1,56,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",1136,1.136,1
2,1,57,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",714,0.714,1
2,1,58,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","m",643,0.643,0
2,1,59,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",1102,1.102,1
2,1,60,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",1144,1.144,1
2,2,1,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",943,0.943,1
2,2,2,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",729,0.729,1
2,2,3,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",850,0.85,1
2,2,4,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",828,0.828,1
2,2,5,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",1046,1.046,1
2,2,6,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",624,0.624,1
2,2,7,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",779,0.779,1
2,2,8,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","n",1381,1.381,1
2,2,9,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",1263,1.263,1
2,2,10,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",809,0.809,1
2,2,11,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",1043,1.043,1
2,2,12,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",877,0.877,1
2,2,13,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",678,0.678,1
2,2,14,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",1312,1.312,1
2,2,15,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",1083,1.083,1
2,2,16,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",693,0.693,1
2,2,17,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",815,0.815,1
2,2,18,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",681,0.681,1
2,2,19,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",867,0.867,1
2,2,20,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",765,0.765,1
2,2,21,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",647,0.647,1
2,2,22,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","n",1297,1.297,1
2,2,23,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",972,0.972,1
2,2,24,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","",0,0,0
2,2,25,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",655,0.655,1
2,2,26,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","n",729,0.729,1
2,2,27,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",643,0.643,1
2,2,28,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",973,0.973,1
2,2,29,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",679,0.679,1
2,2,30,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",977,0.977,1
2,2,31,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",1020,1.02,1
2,2,32,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",822,0.822,1
2,2,33,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",768,0.768,1
2,2,34,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",730,0.73,1
2,2,35,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",900,0.9,1
2,2,36,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",845,0.845,1
2,2,37,"S.bmp","Bekende","Nonmatching","Friend","Self","Self","Self","n",1063,1.063,1
2,2,38,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",817,0.817,1
2,2,39,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",1036,1.036,1
2,2,40,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",758,0.758,1
2,2,41,"T.bmp","Bekende","Nonmatching","Friend","Stranger","Stranger","Stranger","n",960,0.96,1
2,2,42,"C.bmp","Vreemde","Nonmatching","Stranger","Friend","Friend","Close","n",890,0.89,1
2,2,43,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",900,0.9,1
2,2,44,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",734,0.734,1
2,2,45,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",824,0.824,1
2,2,46,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",643,0.643,1
2,2,47,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",1052,1.052,1
2,2,48,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",1094,1.094,1
2,2,49,"S.bmp","Vreemde","Nonmatching","Stranger","Self","Self","Self","n",848,0.848,1
2,2,50,"C.bmp","Ikzelf","Nonmatching","Self","Friend","Friend","Close","n",730,0.73,1
2,2,51,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",804,0.804,1
2,2,52,"T.bmp","Ikzelf","Nonmatching","Self","Stranger","Stranger","Stranger","n",766,0.766,1
2,2,53,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","Stranger","m",744,0.744,1
2,2,54,"S.bmp","Ikzelf","Matching","Self","Self","Self","Self","m",738,0.738,1
2,2,55,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","n",637,0.637,0
2,2,56,"C.bmp","Bekende","Matching","Friend","Friend","Friend","Close","m",711,0.711,1
