"","Subject","Age","Handedness","First_Language","Education","Countryself","Countryparents","Shape","Label","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"1",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,753,0.753,1,NA,NA,NA,NA,NA,NA,NA
"2",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,818,0.818,1,NA,NA,NA,NA,NA,NA,NA
"3",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,917,0.917,1,NA,NA,NA,NA,NA,NA,NA
"4",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,717,0.717,1,NA,NA,NA,NA,NA,NA,NA
"5",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,988,0.988,1,NA,NA,NA,NA,NA,NA,NA
"6",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,950,0.95,1,NA,NA,NA,NA,NA,NA,NA
"7",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,657,0.657,1,NA,NA,NA,NA,NA,NA,NA
"8",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,829,0.829,1,NA,NA,NA,NA,NA,NA,NA
"9",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,1143,1.143,1,NA,NA,NA,NA,NA,NA,NA
"10",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,756,0.756,1,NA,NA,NA,NA,NA,NA,NA
"11",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",2,3,"Matching",1,665,0.665,1,NA,NA,NA,NA,NA,NA,NA
"12",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,846,0.846,1,NA,NA,NA,NA,NA,NA,NA
"13",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,839,0.839,1,NA,NA,NA,NA,NA,NA,NA
"14",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,914,0.914,1,NA,NA,NA,NA,NA,NA,NA
"15",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,712,0.712,1,NA,NA,NA,NA,NA,NA,NA
"16",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",2,3,"Matching",1,1330,1.33,1,NA,NA,NA,NA,NA,NA,NA
"17",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,786,0.786,1,NA,NA,NA,NA,NA,NA,NA
"18",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,626,0.626,1,NA,NA,NA,NA,NA,NA,NA
"19",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,912,0.912,1,NA,NA,NA,NA,NA,NA,NA
"20",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,725,0.725,1,NA,NA,NA,NA,NA,NA,NA
"21",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,956,0.956,1,NA,NA,NA,NA,NA,NA,NA
"22",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,485,0.485,1,NA,NA,NA,NA,NA,NA,NA
"23",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",1,3,"Matching",1,1417,1.417,1,NA,NA,NA,NA,NA,NA,NA
"24",201,18,"r","English/Farsi","High School","Iran/Canada","Iran",3,2,"Matching",1,604,0.604,1,NA,NA,NA,NA,NA,NA,NA
